TÃªn chiáº¿n dá»ch,TÃªn quáº£ng cÃ¡o,NgÃ y,Sá» tiá»n ÄÃ£ chi tiÃªu (VND),LÆ°á»£t báº¯t Äáº§u cuá»c trÃ² chuyá»n qua tin nháº¯n,NgÆ°á»i tiáº¿p cáº­n,LÆ°á»£t hiá»n thá»,Táº§n suáº¥t,LÆ°á»£t click vÃ o áº£nh,LÆ°á»£t phÃ¡t video trong tá»i thiá»u 3 giÃ¢y,ThruPlay,LÆ°á»£t bÃ y tá» cáº£m xÃºc vá» bÃ i viáº¿t,BÃ¬nh luáº­n vá» bÃ i viáº¿t,LÆ°á»£t chia sáº» bÃ i viáº¿t,LÆ°á»£t lÆ°u bÃ i viáº¿t,LÆ°á»£t thÃ­ch trÃªn Facebook,LÆ°á»£t click vÃ o liÃªn káº¿t,LÆ°á»£t báº¯t Äáº§u bÃ¡o cÃ¡o,LÆ°á»£t káº¿t thÃºc bÃ¡o cÃ¡o
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-05-15,27408,,225,240,"1,06666667",,48,12,,,,,,,2026-05-15,2026-05-15
S03 - PD x AKIA - Message,Qrevo C Pro - 260421 - 1392541482891189,2026-05-15,575,,1,1,1,,1,,,,,,,,2026-05-15,2026-05-15
S03 - PD x AKIA - Message,Qrevo C Pro - 260421 - 1390050673140270,2026-05-15,966,,12,12,1,,2,,,,,,,,2026-05-15,2026-05-15
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260414 - 1386546643490673,2026-05-14,2120,,16,16,1,,3,2,1,,,,,,2026-05-14,2026-05-14
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-05-14,39464,2,343,371,"1,08163265",,106,34,1,,,,,2,2026-05-14,2026-05-14
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377529494392388,2026-05-14,10572,,49,50,"1,02040816",,13,1,,,,,,,2026-05-14,2026-05-14
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-05-14,31809,2,319,322,"1,00940439",,149,31,1,,,,,4,2026-05-14,2026-05-14
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129465883138166,2026-05-14,99,,1,1,1,,1,,,,,,,,2026-05-14,2026-05-14
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-05-14,49221,5,645,727,"1,12713178",,168,58,3,1,,,,11,2026-05-14,2026-05-14
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377389881073016,2026-05-14,36853,,259,292,"1,12741313",,115,32,,,,,,2,2026-05-14,2026-05-14
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-05-14,37395,6,592,608,"1,02702703",,308,93,3,1,,,1,7,2026-05-14,2026-05-14
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-05-14,41158,4,904,1012,"1,11946903",,289,102,2,,,,,8,2026-05-14,2026-05-14
S03 - PD x AKIA - Message,Qrevo C Pro - 260421 - 1390050673140270,2026-05-14,29,,2,2,1,,1,,,,,,,,2026-05-14,2026-05-14
S03 - PD x MiSmart - Message,Qrevo C Pro - 260414  - 122270673140062219,2026-05-14,352,,3,4,"1,33333333",,3,,,,,,,,2026-05-14,2026-05-14
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-05-14,36455,1,172,188,"1,09302326",,52,15,1,,,,,7,2026-05-14,2026-05-14
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-05-14,57023,2,576,762,"1,32291667",,116,33,,,1,,,3,2026-05-14,2026-05-14
S03 - PD x AKIA - Message,Qrevo C Pro - 260423 - 1394234822721855,2026-05-14,40346,,232,255,"1,09913793",,59,18,1,,,,,,2026-05-14,2026-05-14
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448790803931101,2026-05-14,389,,8,8,1,,4,1,,,,,,1,2026-05-14,2026-05-14
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448683327275182,2026-05-14,38972,1,508,644,"1,26771654",,104,21,2,,,,,3,2026-05-14,2026-05-14
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134487067138166,2026-05-14,543,,2,2,1,,2,2,,,,,,,2026-05-14,2026-05-14
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134480665138166,2026-05-14,33842,2,329,345,"1,04863222",,174,55,2,,,,,4,2026-05-14,2026-05-14
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260410 - 1426385486171633,2026-05-13,17838,1,474,495,"1,0443038",,104,27,,,,,,3,2026-05-13,2026-05-13
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-05-13,27593,2,727,780,"1,07290234",,222,84,4,,,,,5,2026-05-13,2026-05-13
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-05-13,36943,3,408,432,"1,05882353",,97,37,2,,,,,5,2026-05-13,2026-05-13
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-05-13,40083,2,355,365,"1,02816901",,170,39,2,,1,,,5,2026-05-13,2026-05-13
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268787694062219,2026-05-13,13057,,69,75,"1,08695652",,17,3,1,,,,,,2026-05-13,2026-05-13
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-05-13,53993,2,615,705,"1,14634146",,159,51,2,,,,,11,2026-05-13,2026-05-13
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377389881073016,2026-05-13,40690,2,300,328,"1,09333333",,122,36,1,,,,,2,2026-05-13,2026-05-13
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-05-13,31782,2,599,607,"1,01335559",,294,91,1,1,,,,5,2026-05-13,2026-05-13
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129460603138166,2026-05-13,232,,4,4,1,,1,,,,,,,,2026-05-13,2026-05-13
S03 - PD x MiSmart - Message,Qrevo C Pro - 260414  - 122270673140062219,2026-05-13,4785,,35,40,"1,14285714",,15,3,,,,,,,2026-05-13,2026-05-13
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-05-13,40788,4,244,267,"1,0942623",,65,18,,,,,,6,2026-05-13,2026-05-13
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-05-13,59667,,579,751,"1,2970639",,82,25,1,,,,,1,2026-05-13,2026-05-13
S03 - PD x AKIA - Message,Qrevo C Pro - 260423 - 1394234822721855,2026-05-13,40543,,233,252,"1,08154506",,54,20,,,,,,1,2026-05-13,2026-05-13
S03 - PD x AKIA - Message,Qrevo C Pro - 260421 - 1392541482891189,2026-05-13,6195,,42,46,"1,0952381",,10,1,,,,,,,2026-05-13,2026-05-13
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448790803931101,2026-05-13,1999,,23,27,"1,17391304",,8,5,,,,,,1,2026-05-13,2026-05-13
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448683327275182,2026-05-13,43448,2,762,885,"1,16141732",,149,40,,,,,,,2026-05-13,2026-05-13
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134480665138166,2026-05-13,34169,2,359,382,"1,06406685",,177,63,1,,1,,,7,2026-05-13,2026-05-13
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-05-12,32145,7,658,670,"1,01823708",,329,96,2,,1,,,10,2026-05-12,2026-05-12
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-05-12,39428,1,1003,1090,"1,08673978",,299,105,1,,,,,5,2026-05-12,2026-05-12
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-05-12,32329,2,413,433,"1,04842615",,110,32,,,,,,3,2026-05-12,2026-05-12
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377529494392388,2026-05-12,2548,,24,24,1,,10,2,,,,,,,2026-05-12,2026-05-12
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-05-12,34322,4,381,384,"1,00787402",,171,40,,,1,1,1,4,2026-05-12,2026-05-12
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129465883138166,2026-05-12,2066,,14,14,1,,8,3,,,,,,1,2026-05-12,2026-05-12
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-05-12,59489,6,559,714,"1,27728086",,168,57,5,1,2,,1,10,2026-05-12,2026-05-12
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377389881073016,2026-05-12,39484,2,245,259,"1,05714286",,103,28,,,,,,2,2026-05-12,2026-05-12
S03 - PD x MiSmart - Message,Qrevo C Pro - 260420 - 122271201038062219,2026-05-12,5442,,64,67,"1,046875",,18,3,,,,,,,2026-05-12,2026-05-12
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260414 - 1386546643490673,2026-05-12,7856,,71,74,"1,04225352",,22,10,,,,,,,2026-05-12,2026-05-12
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-05-12,36187,4,235,250,"1,06382979",,69,20,1,,,,,6,2026-05-12,2026-05-12
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-05-12,56000,2,457,606,"1,32603939",,99,31,1,,,1,1,8,2026-05-12,2026-05-12
S03 - PD x AKIA - Message,Qrevo C Pro - 260423 - 1394234822721855,2026-05-12,45677,1,276,295,"1,06884058",,66,22,,,,,,2,2026-05-12,2026-05-12
S03 - PD x AKIA - Message,Qrevo C Pro - 260505 - 1404915361653801,2026-05-12,0,1,0,0,0,,,,,,,,,,2026-05-12,2026-05-12
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448683327275182,2026-05-12,47910,1,695,901,"1,29640288",,144,30,1,,,,,1,2026-05-12,2026-05-12
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134487067138166,2026-05-12,9438,,56,61,"1,08928571",,25,10,1,,,,,,2026-05-12,2026-05-12
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134480665138166,2026-05-12,40906,4,535,556,"1,03925234",,241,80,2,,,,,9,2026-05-12,2026-05-12
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260410 - 1426385486171633,2026-05-11,5245,,86,89,"1,03488372",,17,6,,,,,,,2026-05-11,2026-05-11
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-05-11,47732,1,385,405,"1,05194805",,123,36,,,,,,3,2026-05-11,2026-05-11
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-05-11,48473,4,498,506,"1,01606426",,227,55,1,,,,,7,2026-05-11,2026-05-11
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268787694062219,2026-05-11,5890,,27,30,"1,11111111",,11,5,,,,,,,2026-05-11,2026-05-11
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-05-11,66264,5,605,777,"1,28429752",,195,67,3,1,,,,10,2026-05-11,2026-05-11
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377389881073016,2026-05-11,47941,2,349,383,"1,0974212",,132,38,,,,,,4,2026-05-11,2026-05-11
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-05-11,40942,,737,766,"1,03934871",,386,129,,,1,,,4,2026-05-11,2026-05-11
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-05-11,31609,3,838,957,"1,14200477",,253,101,1,1,,,,5,2026-05-11,2026-05-11
S03 - PD x AKIA - Message,Qrevo C Pro - 260421 - 1392541482891189,2026-05-11,1798,,16,17,"1,0625",,9,3,,,,,,,2026-05-11,2026-05-11
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-05-11,49953,,431,554,"1,28538283",,75,21,,,,,,2,2026-05-11,2026-05-11
S03 - PD x AKIA - Message,Qrevo C Pro - 260423 - 1394234822721855,2026-05-11,44711,4,255,263,"1,03137255",,68,17,,1,,,,3,2026-05-11,2026-05-11
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448790803931101,2026-05-11,8539,,109,124,"1,13761468",,22,2,,,,,,,2026-05-11,2026-05-11
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448683327275182,2026-05-11,32567,2,537,691,"1,2867784",,119,27,3,,,,,1,2026-05-11,2026-05-11
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134480665138166,2026-05-11,47373,3,448,490,"1,09375",,218,78,2,,2,,,8,2026-05-11,2026-05-11
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-05-11,43372,3,234,249,"1,06410256",,74,22,1,1,,,,4,2026-05-11,2026-05-11
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-05-10,47193,6,803,823,"1,0249066",,446,118,1,,,,1,10,2026-05-10,2026-05-10
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-05-10,47269,2,1307,1423,"1,08875287",,425,154,,,1,,,8,2026-05-10,2026-05-10
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-05-10,51211,7,531,544,"1,02448211",,233,61,,,1,,,7,2026-05-10,2026-05-10
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129460603138166,2026-05-10,4298,,23,23,1,,6,3,,,,,,,2026-05-10,2026-05-10
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129465883138166,2026-05-10,524,,4,4,1,,,,,,,,,,2026-05-10,2026-05-10
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268787694062219,2026-05-10,3496,,35,38,"1,08571429",,5,2,,,,,,,2026-05-10,2026-05-10
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-05-10,72980,4,749,927,"1,2376502",,188,61,3,1,1,,,14,2026-05-10,2026-05-10
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377389881073016,2026-05-10,44382,2,302,322,"1,06622517",,140,44,,1,,,,3,2026-05-10,2026-05-10
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-05-10,53885,5,486,523,"1,07613169",,167,54,,,,,,9,2026-05-10,2026-05-10
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260410 - 1426385486171633,2026-05-10,21,,2,2,1,,,,,,,,,,2026-05-10,2026-05-10
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260414 - 1386546643490673,2026-05-10,2096,,14,14,1,,4,3,,,,,,,2026-05-10,2026-05-10
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-05-10,56481,5,321,334,"1,04049844",,76,22,1,1,,,,7,2026-05-10,2026-05-10
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-05-10,71454,1,525,739,"1,40761905",,103,32,3,,,,,4,2026-05-10,2026-05-10
S03 - PD x AKIA - Message,Qrevo C Pro - 260423 - 1394234822721855,2026-05-10,186,1,2,2,1,,1,1,,,,,,1,2026-05-10,2026-05-10
S03 - PD x AKIA - Message,Qrevo C Pro - 260506 - 1405659644912706,2026-05-10,52002,2,355,375,"1,05633803",,130,37,1,,,,,5,2026-05-10,2026-05-10
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448683327275182,2026-05-10,53032,2,714,1003,"1,4047619",,175,48,2,,,,,4,2026-05-10,2026-05-10
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134487067138166,2026-05-10,2457,,27,27,1,,6,1,,,,,,,2026-05-10,2026-05-10
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134480665138166,2026-05-10,40959,3,342,353,"1,03216374",,174,67,3,,1,,,3,2026-05-10,2026-05-10
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-05-09,38117,3,1028,1147,"1,11575875",,336,124,,,,,,7,2026-05-09,2026-05-09
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-05-09,24271,3,204,218,"1,06862745",,77,15,2,,,,,3,2026-05-09,2026-05-09
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377529494392388,2026-05-09,10176,1,32,33,"1,03125",,7,2,,,,,,1,2026-05-09,2026-05-09
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-05-09,18646,3,243,254,"1,04526749",,116,22,2,,,,,6,2026-05-09,2026-05-09
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129465883138166,2026-05-09,766,1,8,8,1,,3,1,,,,,,1,2026-05-09,2026-05-09
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-05-09,45961,1,483,588,"1,2173913",,151,52,2,2,,,,5,2026-05-09,2026-05-09
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377389881073016,2026-05-09,24097,1,250,269,"1,076",,100,23,,,,,,2,2026-05-09,2026-05-09
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-05-09,32769,1,577,585,"1,01386482",,311,85,2,1,1,,,3,2026-05-09,2026-05-09
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260414 - 1386546643490673,2026-05-09,586,,9,9,1,,1,1,,,,,,,2026-05-09,2026-05-09
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-05-09,9845,1,63,66,"1,04761905",,14,3,,,,,,1,2026-05-09,2026-05-09
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-05-09,65537,,603,833,"1,3814262",,120,36,,,,,,11,2026-05-09,2026-05-09
S03 - PD x AKIA - Message,Qrevo C Pro - 260506 - 1405659644912706,2026-05-09,8046,,93,98,"1,05376344",,29,9,,,,,,,2026-05-09,2026-05-09
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448683327275182,2026-05-09,33875,,512,767,"1,49804688",,121,38,2,,,,,3,2026-05-09,2026-05-09
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134480665138166,2026-05-09,23933,2,243,256,"1,05349794",,109,34,4,,,,,4,2026-05-09,2026-05-09
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260410 - 1426385486171633,2026-05-08,9629,,231,238,"1,03030303",,44,10,,,,,,1,2026-05-08,2026-05-08
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-05-08,30978,3,1028,1128,"1,09727626",,325,106,,,,,,4,2026-05-08,2026-05-08
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-05-08,41800,2,391,418,"1,06905371",,191,43,1,,,,,5,2026-05-08,2026-05-08
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129460603138166,2026-05-08,2090,,11,11,1,,4,,,,,,,,2026-05-08,2026-05-08
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268787694062219,2026-05-08,5580,,58,64,"1,10344828",,11,3,,,,,,,2026-05-08,2026-05-08
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-05-08,46940,2,454,615,"1,35462555",,127,45,3,2,,,,9,2026-05-08,2026-05-08
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377389881073016,2026-05-08,39210,4,329,371,"1,12765957",,150,32,1,,,,,4,2026-05-08,2026-05-08
S03 - PD x MiSmart - Message,Qrevo C Pro - 260406 -  122268981068062219,2026-05-08,12009,,113,125,"1,10619469",,43,5,1,,,,,,2026-05-08,2026-05-08
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-05-08,33812,2,529,541,"1,02268431",,302,92,1,2,1,,,5,2026-05-08,2026-05-08
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-05-08,36049,1,312,340,"1,08974359",,98,30,,,,,,1,2026-05-08,2026-05-08
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-05-08,25841,1,144,151,"1,04861111",,46,10,1,,,,,1,2026-05-08,2026-05-08
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134475271138166,2026-05-08,19,,1,1,1,,,,,,,,,,2026-05-08,2026-05-08
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448708143939367,2026-05-08,1316,,22,23,"1,04545455",,4,3,,,,,,1,2026-05-08,2026-05-08
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134480665138166,2026-05-08,43735,1,408,441,"1,08088235",,200,71,1,,,,,4,2026-05-08,2026-05-08
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448683327275182,2026-05-08,33859,1,580,799,"1,37758621",,145,28,1,,,,,,2026-05-08,2026-05-08
S03 - PD x MiSmart - Message,Qrevo C Pro - 260423 - 122271985964062219,2026-05-08,36129,1,259,387,"1,49420849",,59,21,,,,,,7,2026-05-08,2026-05-08
S03 - PD x AKIA - Message,Qrevo C Pro - 260506 - 1405765851568752,2026-05-08,3496,,17,18,"1,05882353",,8,3,1,,,,,2,2026-05-08,2026-05-08
S03 - PD x AKIA - Message,Qrevo C Pro - 260506 - 1405659644912706,2026-05-08,37316,,335,363,"1,08358209",,113,25,,,,,,1,2026-05-08,2026-05-08
S03 - PD x AKIA - Message,Qrevo C Pro - 260506 - 1405681528243851,2026-05-08,5089,,40,40,1,,16,8,,,,,,3,2026-05-08,2026-05-08
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260504 - 122134267881138166,2026-05-08,7910,,29,30,"1,03448276",,17,6,,,,,,1,2026-05-08,2026-05-08
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-05-07,35978,5,529,534,"1,0094518",,273,91,1,,,,,6,2026-05-07,2026-05-07
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo Edge 2 - 260327 - 1415354603941388,2026-05-07,42101,2,1273,1401,"1,10054988",,397,151,2,,,,,5,2026-05-07,2026-05-07
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260327 - 122267988968062219,2026-05-07,10845,,64,81,"1,265625",,10,3,,,,,,,2026-05-07,2026-05-07
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-05-07,44259,2,277,302,"1,09025271",,97,30,1,1,,,,2,2026-05-07,2026-05-07
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377529494392388,2026-05-07,6425,1,56,61,"1,08928571",,13,4,,,,,,1,2026-05-07,2026-05-07
S03 - PD x AKIA - Message,F25 Ultra - 260403 - 1377555224389815,2026-05-07,38466,3,319,338,"1,05956113",,154,35,2,,,,,5,2026-05-07,2026-05-07
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129460603138166,2026-05-07,111,,1,1,1,,,,,,,,,,2026-05-07,2026-05-07
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260403 - 122129465883138166,2026-05-07,965,,6,6,1,,3,1,,,,,,,2026-05-07,2026-05-07
S03 - PD x MiSmart - Message,Qrevo Edge 2 - 260406 - 122268362954062219,2026-05-07,61144,2,485,669,"1,37938144",,160,66,3,,,,,14,2026-05-07,2026-05-07
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260406 - 1377389881073016,2026-05-07,39127,3,230,245,"1,06521739",,90,19,,,,,,5,2026-05-07,2026-05-07
S03 - PD x MiSmart - Message,Qrevo C Pro - 260406 -  122268981068062219,2026-05-07,59226,1,760,972,"1,27894737",,359,74,4,,,,,16,2026-05-07,2026-05-07
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260423 - 122132827071138166,2026-05-07,10015,1,41,42,"1,02439024",,10,3,1,1,,,,,2026-05-07,2026-05-07
S03 - PD x AKIA - Message,Qrevo Edge 2 - 260414 - 1386546643490673,2026-05-07,6501,,47,48,"1,0212766",,17,8,,,,,,,2026-05-07,2026-05-07
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134475271138166,2026-05-07,19374,,171,175,"1,02339181",,45,18,2,,,,,,2026-05-07,2026-05-07
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448708143939367,2026-05-07,47649,,733,972,"1,3260573",,156,61,2,,,,,4,2026-05-07,2026-05-07
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134487067138166,2026-05-07,627,1,8,8,1,,2,1,,,,,,1,2026-05-07,2026-05-07
S03 - PD x ÄM VÄn KhÃ­ch - Message,Qrevo C Pro - 260506 - 1448790803931101,2026-05-07,66,,4,4,1,,1,,,,,,,,2026-05-07,2026-05-07
S03 - PD x KhÃ¡nh Vy Home - Message,Saros 20 Sonic - 260506 - 122134480665138166,2026-05-07,23802,3,296,298,"1,00675676",,135,54,1,,1,,,4,2026-05-07,2026-05-07
S03 - PD x AKIA - Message,Qrevo C Pro - 260506 - 1405765851568752,2026-05-07,21102,,104,108,"1,03846154",,47,6,,,,,,,2026-05-07,2026-05-07
S03 - PD x AKIA - Message,Qrevo C Pro - 260506 - 1405659644912706,2026-05-07,4834,,22,25,"1,13636364",,6,3,,,,,,,2026-05-07,2026-05-07
S03 - PD x AKIA - Message,Qrevo C Pro - 260506 - 1405681528243851,2026-05-07,27701,,172,186,"1,08139535",,49,21,,,,,,1,2026-05-07,2026-05-07
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo C Pro - 260504 - 122134267881138166,2026-05-07,43143,1,145,156,"1,07586207",,65,14,1,,,,,4,2026-05-07,2026-05-07
S03 - PD x KhÃ¡nh Vy Home - Message,F25 Ultra - 260410 - 122131012725138166,2026-05-06,47514,3,658,687,"1,04407295",,384,98,,,,,,7,2026-05-06,2026-05-06
S03 - PD x KhÃ¡nh Vy Home - Message,Qrevo Edge 2 - 260401 - 122129097111138166,2026-05-06,51460,2,365,395,"1,08219178",,122,44,,2,,,,7,2026-05-06,2026-05-06
